GameID,Quarter,Quarter_Time,Team,Play
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,1:46.0,Boston Celtics,J. Tatum makes free throw 1 of 2
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,1:46.0,Boston Celtics,J. Tatum makes free throw 2 of 2
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,1:34.0,Dallas Mavericks,D. Exum makes 2-pt dunk from 3 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,1:12.0,Dallas Mavericks,Defensive rebound by P. Washington
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,1:02.0,Dallas Mavericks,L. Dončić makes free throw 1 of 2
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,1:02.0,Dallas Mavericks,L. Dončić makes free throw 2 of 2
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,0:46.0,Dallas Mavericks,Defensive rebound by L. Dončić
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,0:34.0,Boston Celtics,Defensive rebound by S. Hauser
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,0:28.0,Boston Celtics,S. Hauser makes 3-pt jump shot from 27 ft (assist by J. Tatum)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,0:05.0,Boston Celtics,Defensive rebound by D. White
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,1,0:01.0,Boston Celtics,J. Tatum makes 2-pt dunk from 2 ft (assist by D. White)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,11:41.0,Dallas Mavericks,Defensive rebound by T. Hardaway
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,11:26.0,Boston Celtics,Defensive rebound by A. Horford
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,10:50.0,Dallas Mavericks,Offensive rebound by Team
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,10:36.0,Dallas Mavericks,Offensive rebound by Team
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,10:22.0,Dallas Mavericks,Defensive rebound by Team
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,9:52.0,Boston Celtics,J. Brown makes 2-pt layup from 1 ft (assist by A. Horford)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,9:17.0,Dallas Mavericks,Defensive rebound by D. Jones
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,9:10.0,Dallas Mavericks,K. Irving makes 2-pt jump shot from 9 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,8:52.0,Boston Celtics,D. White makes 3-pt jump shot from 26 ft (assist by J. Holiday)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,8:29.0,Boston Celtics,Defensive rebound by P. Pritchard
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,8:11.0,Dallas Mavericks,Defensive rebound by K. Irving
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,8:03.0,Dallas Mavericks,Offensive rebound by D. Jones
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,7:57.0,Boston Celtics,Defensive rebound by Team
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,7:57.0,Boston Celtics,Instant Replay (Challenge: Ruling Stands)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,7:31.0,Dallas Mavericks,Defensive rebound by D. Gafford
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,7:17.0,Boston Celtics,Defensive rebound by Team
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,6:40.0,Boston Celtics,Defensive rebound by J. Tatum
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,6:26.0,Dallas Mavericks,Defensive rebound by P. Washington
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,6:13.0,Dallas Mavericks,K. Irving makes 3-pt jump shot from 24 ft (assist by J. Green)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,5:59.0,Boston Celtics,J. Tatum makes 3-pt jump shot from 28 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,5:39.0,Dallas Mavericks,D. Gafford makes 2-pt dunk from 1 ft (assist by K. Irving)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,5:18.0,Boston Celtics,J. Tatum makes 2-pt layup from 1 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,4:57.0,Boston Celtics,Defensive rebound by J. Tatum
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,4:48.0,Boston Celtics,Offensive rebound by X. Tillman
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,4:36.0,Dallas Mavericks,Defensive rebound by T. Hardaway
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,4:15.0,Dallas Mavericks,K. Irving makes 3-pt jump shot from 26 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,3:56.0,Dallas Mavericks,Defensive rebound by K. Irving
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,3:45.0,Dallas Mavericks,Offensive rebound by J. Green
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,3:41.0,Dallas Mavericks,K. Irving makes 3-pt jump shot from 26 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,3:25.0,Boston Celtics,S. Hauser makes 3-pt jump shot from 22 ft (assist by J. Tatum)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,3:08.0,Dallas Mavericks,L. Dončić makes 2-pt jump shot from 7 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,2:44.0,Boston Celtics,Offensive rebound by J. Holiday
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,2:40.0,Boston Celtics,Offensive rebound by J. Holiday
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,2:39.0,Boston Celtics,J. Holiday makes 2-pt layup from 4 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,2:13.0,Dallas Mavericks,L. Dončić makes 2-pt jump shot from 12 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,1:51.0,Dallas Mavericks,Defensive rebound by D. Lively
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,1:40.0,Boston Celtics,Defensive rebound by J. Brown
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,1:32.0,Boston Celtics,A. Horford makes 3-pt jump shot from 23 ft (assist by J. Holiday)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,1:14.0,Dallas Mavericks,D. Lively makes 2-pt dunk from 1 ft (assist by P. Washington)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,0:49.0,Dallas Mavericks,Defensive rebound by Team
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,0:33.0,Boston Celtics,J. Tatum makes 2-pt layup from 3 ft (assist by J. Brown)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,0:12.0,Dallas Mavericks,Offensive rebound by P. Washington
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,0:09.0,Dallas Mavericks,Offensive rebound by Team
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,0:09.0,Dallas Mavericks,P. Washington makes free throw 2 of 2
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,2,0:01.0,Dallas Mavericks,Defensive rebound by P. Washington
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,11:42.0,Boston Celtics,J. Brown makes 2-pt jump shot from 12 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,11:25.0,Dallas Mavericks,L. Dončić makes 2-pt layup from 3 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,11:06.0,Boston Celtics,J. Holiday makes 2-pt layup from 3 ft (assist by D. White)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,10:48.0,Dallas Mavericks,Offensive rebound by D. Gafford
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,10:48.0,Dallas Mavericks,D. Gafford makes 2-pt dunk at rim
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,10:30.0,Boston Celtics,J. Tatum makes 2-pt layup from 3 ft (assist by J. Brown)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,10:06.0,Dallas Mavericks,L. Dončić makes free throw 1 of 2
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,10:06.0,Dallas Mavericks,L. Dončić makes free throw 2 of 2
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,9:52.0,Boston Celtics,J. Brown makes 2-pt jump shot from 9 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,9:33.0,Dallas Mavericks,K. Irving makes 2-pt jump shot from 12 ft (assist by D. Jones)
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,9:20.0,Boston Celtics,J. Holiday makes 3-pt jump shot from 27 ft
8:30PM*June12*2024-Boston*CelticsvsDallas*Mavericks,3,8:45.0,Boston Celtics,J. Tatum makes 3-pt jump shot from 27 ft (assist by J. Brown)
