GameID,gameDate,HomeTeam,AwayTeam
June122024DalvsBos,8:30PM-June12-2024,Dallas Mavericks,Boston Celtics
GameID,Score,Quarter,QuarterTime,Team,Play
June122024DalvsBos,32-33,2,9:10.0,Dallas Mavericks,K. Irving makes 2-pt jump shot from 9 ft
June122024DalvsBos,35-33,2,8:52.0,Boston Celtics,D. White makes 3-pt jump shot from 26 ft
June122024DalvsBos,35-33,2,8:29.0,Boston Celtics,Defensive rebound by P. Pritchard
June122024DalvsBos,35-33,2,8:11.0,Dallas Mavericks,Defensive rebound by K. Irving
June122024DalvsBos,35-33,2,8:03.0,Dallas Mavericks,Offensive rebound by D. Jones
June122024DalvsBos,35-33,2,7:57.0,Boston Celtics,Defensive rebound by Team
June122024DalvsBos,35-33,2,7:57.0,Boston Celtics,Instant Replay
June122024DalvsBos,35-33,2,7:31.0,Dallas Mavericks,Defensive rebound by D. Gafford
June122024DalvsBos,35-33,2,7:17.0,Boston Celtics,Defensive rebound by Team
June122024DalvsBos,35-33,2,6:40.0,Boston Celtics,Defensive rebound by J. Tatum
June122024DalvsBos,35-33,2,6:26.0,Dallas Mavericks,Defensive rebound by P. Washington
June122024DalvsBos,35-36,2,6:13.0,Dallas Mavericks,K. Irving makes 3-pt jump shot from 24 ft
June122024DalvsBos,38-36,2,5:59.0,Boston Celtics,J. Tatum makes 3-pt jump shot from 28 ft
June122024DalvsBos,38-38,2,5:39.0,Dallas Mavericks,D. Gafford makes 2-pt dunk from 1 ft
June122024DalvsBos,40-38,2,5:18.0,Boston Celtics,J. Tatum makes 2-pt layup from 1 ft
June122024DalvsBos,40-38,2,4:57.0,Boston Celtics,Defensive rebound by J. Tatum
June122024DalvsBos,40-38,2,4:48.0,Boston Celtics,Offensive rebound by X. Tillman
June122024DalvsBos,40-38,2,4:36.0,Dallas Mavericks,Defensive rebound by T. Hardaway
June122024DalvsBos,40-41,2,4:15.0,Dallas Mavericks,K. Irving makes 3-pt jump shot from 26 ft
June122024DalvsBos,40-41,2,3:56.0,Dallas Mavericks,Defensive rebound by K. Irving
June122024DalvsBos,40-41,2,3:45.0,Dallas Mavericks,Offensive rebound by J. Green
June122024DalvsBos,40-44,2,3:41.0,Dallas Mavericks,K. Irving makes 3-pt jump shot from 26 ft
June122024DalvsBos,43-44,2,3:25.0,Boston Celtics,S. Hauser makes 3-pt jump shot from 22 ft
