GameID,gameDate,HomeTeam,AwayTeam
June192016GolvsCle,8:00PM-June19-2016,Golden State Warriors,Cleveland Cavaliers
GameID,Score,Quarter,QuarterTime,Team,Play
June192016GolvsCle,27-26,2,9:10.0,Cleveland Cavaliers,M. Williams makes 2-pt layup from 2 ft
June192016GolvsCle,27-29,2,8:49.0,Golden State Warriors,D. Green makes 3-pt jump shot from 26 ft
June192016GolvsCle,27-29,2,8:08.0,Cleveland Cavaliers,Defensive rebound by L. James
June192016GolvsCle,27-29,2,7:59.0,Golden State Warriors,Defensive rebound by A. Iguodala
June192016GolvsCle,27-29,2,7:37.0,Cleveland Cavaliers,Defensive rebound by K. Irving
June192016GolvsCle,27-29,2,7:24.0,Cleveland Cavaliers,Offensive rebound by Team
June192016GolvsCle,30-29,2,7:02.0,Cleveland Cavaliers,I. Shumpert makes 3-pt jump shot from 24 ft
June192016GolvsCle,31-29,2,7:02.0,Cleveland Cavaliers,I. Shumpert makes free throw 1 of 1
June192016GolvsCle,31-31,2,6:52.0,Golden State Warriors,S. Curry makes 2-pt layup from 2 ft
June192016GolvsCle,31-32,2,6:52.0,Golden State Warriors,S. Curry makes free throw 1 of 1
June192016GolvsCle,31-32,2,6:29.0,Cleveland Cavaliers,Offensive rebound by L. James
June192016GolvsCle,31-32,2,6:24.0,Golden State Warriors,Defensive rebound by D. Green
June192016GolvsCle,33-32,2,6:10.0,Cleveland Cavaliers,L. James makes 2-pt layup at rim
June192016GolvsCle,33-35,2,5:56.0,Golden State Warriors,D. Green makes 3-pt jump shot from 27 ft
June192016GolvsCle,33-35,2,5:32.0,Cleveland Cavaliers,Defensive rebound by I. Shumpert
June192016GolvsCle,33-35,2,5:13.0,Golden State Warriors,Defensive rebound by S. Curry
June192016GolvsCle,33-35,2,5:06.0,Golden State Warriors,Offensive rebound by Team
June192016GolvsCle,33-35,2,4:57.0,Golden State Warriors,Offensive rebound by A. Iguodala
June192016GolvsCle,33-35,2,4:50.0,Cleveland Cavaliers,Defensive rebound by J. Smith
June192016GolvsCle,35-35,2,4:28.0,Cleveland Cavaliers,K. Irving makes 2-pt jump shot from 7 ft
June192016GolvsCle,35-38,2,4:09.0,Golden State Warriors,D. Green makes 3-pt jump shot from 26 ft
June192016GolvsCle,37-38,2,3:59.0,Cleveland Cavaliers,K. Irving makes 2-pt jump shot from 7 ft
June192016GolvsCle,38-38,2,3:59.0,Cleveland Cavaliers,K. Irving makes free throw 1 of 1
June192016GolvsCle,38-41,2,3:45.0,Golden State Warriors,D. Green makes 3-pt jump shot from 26 ft
June192016GolvsCle,40-41,2,3:31.0,Cleveland Cavaliers,L. James makes 2-pt jump shot from 6 ft
June192016GolvsCle,40-41,2,3:30.0,Golden State Warriors,Defensive rebound by D. Green
June192016GolvsCle,40-41,2,3:15.0,Cleveland Cavaliers,Defensive rebound by R. Jefferson
June192016GolvsCle,40-41,2,3:07.0,Golden State Warriors,Defensive rebound by D. Green
June192016GolvsCle,40-41,2,2:57.0,Cleveland Cavaliers,Defensive rebound by J. Smith
June192016GolvsCle,40-41,2,2:47.0,Golden State Warriors,Defensive rebound by A. Iguodala
June192016GolvsCle,40-43,2,2:27.0,Golden State Warriors,D. Green makes 2-pt layup from 2 ft
June192016GolvsCle,40-44,2,2:27.0,Golden State Warriors,D. Green makes free throw 1 of 1
June192016GolvsCle,40-47,2,2:08.0,Golden State Warriors,L. Barbosa makes 3-pt jump shot from 23 ft
June192016GolvsCle,40-47,2,1:44.0,Cleveland Cavaliers,Offensive rebound by Team
June192016GolvsCle,0-0,2,1:35.0,Cleveland Cavaliers,Jump ball: D. Green vs. K. Irving
June192016GolvsCle,40-47,2,1:17.0,Cleveland Cavaliers,Defensive rebound by R. Jefferson
June192016GolvsCle,41-47,2,1:09.0,Cleveland Cavaliers,I. Shumpert makes free throw 1 of 2
June192016GolvsCle,42-47,2,1:09.0,Cleveland Cavaliers,I. Shumpert makes free throw 2 of 2
June192016GolvsCle,42-49,2,0:51.0,Golden State Warriors,A. Iguodala makes 2-pt jump shot from 11 ft
June192016GolvsCle,42-49,2,0:30.0,Golden State Warriors,Defensive rebound by A. Iguodala
June192016GolvsCle,42-49,2,0:04.0,Cleveland Cavaliers,Defensive rebound by R. Jefferson
June192016GolvsCle,42-49,3,11:49.0,Cleveland Cavaliers,Defensive rebound by K. Love
June192016GolvsCle,44-49,3,11:38.0,Cleveland Cavaliers,J. Smith makes 2-pt jump shot from 21 ft
June192016GolvsCle,44-49,3,11:23.0,Cleveland Cavaliers,Defensive rebound by Team
June192016GolvsCle,46-49,3,11:11.0,Cleveland Cavaliers,T. Thompson makes 2-pt jump shot from 8 ft
June192016GolvsCle,46-52,3,11:01.0,Golden State Warriors,K. Thompson makes 3-pt jump shot from 25 ft
June192016GolvsCle,46-52,3,10:44.0,Golden State Warriors,Defensive rebound by D. Green
June192016GolvsCle,46-54,3,10:33.0,Golden State Warriors,K. Thompson makes 2-pt jump shot from 8 ft
June192016GolvsCle,49-54,3,10:08.0,Cleveland Cavaliers,J. Smith makes 3-pt jump shot from 25 ft
June192016GolvsCle,49-54,3,9:54.0,Cleveland Cavaliers,Defensive rebound by K. Love
June192016GolvsCle,52-54,3,9:34.0,Cleveland Cavaliers,J. Smith makes 3-pt jump shot from 26 ft
June192016GolvsCle,54-54,3,8:53.0,Cleveland Cavaliers,K. Irving makes 2-pt layup from 2 ft
June192016GolvsCle,54-54,3,8:30.0,Cleveland Cavaliers,Defensive rebound by K. Irving
June192016GolvsCle,54-54,3,8:24.0,Golden State Warriors,Defensive rebound by S. Curry
June192016GolvsCle,54-56,3,8:21.0,Golden State Warriors,S. Curry makes 2-pt layup from 1 ft
June192016GolvsCle,54-56,3,7:50.0,Golden State Warriors,Defensive rebound by Team
June192016GolvsCle,54-59,3,7:40.0,Golden State Warriors,S. Curry makes 3-pt jump shot from 26 ft
June192016GolvsCle,56-59,3,7:14.0,Cleveland Cavaliers,K. Love makes 2-pt layup from 3 ft
June192016GolvsCle,56-59,3,6:49.0,Cleveland Cavaliers,Defensive rebound by K. Love
June192016GolvsCle,57-59,3,6:44.0,Cleveland Cavaliers,L. James makes free throw 1 of 2
June192016GolvsCle,58-59,3,6:44.0,Cleveland Cavaliers,L. James makes free throw 2 of 2
June192016GolvsCle,60-59,3,6:24.0,Cleveland Cavaliers,K. Irving makes 2-pt layup from 2 ft
